image_default,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump,no dump and coremask=1
image_default_core_2,cmodel_no_dump cmodel_coremask_2 compilation_default compilation_no_dump,no dump and coremask=2
image_default_core_3,cmodel_no_dump cmodel_coremask_3 compilation_default compilation_no_dump,no dump and coremask=3
image_default_core_4,cmodel_no_dump cmodel_coremask_4 compilation_default compilation_no_dump,no dump and coremask=4
image_default_core_5,cmodel_no_dump cmodel_coremask_5 compilation_default compilation_no_dump,no dump and coremask=5
image_default_core_6,cmodel_no_dump cmodel_coremask_6 compilation_default compilation_no_dump,no dump and coremask=6
image_default_core_7,cmodel_no_dump cmodel_coremask_7 compilation_default compilation_no_dump,no dump and coremask=7
image_default_core_8,cmodel_no_dump cmodel_coremask_8 compilation_default compilation_no_dump,no dump and coremask=8
image_default_core_9,cmodel_no_dump cmodel_coremask_9 compilation_default compilation_no_dump,no dump and coremask=9
image_default_core_10,cmodel_no_dump cmodel_coremask_10 compilation_default compilation_no_dump,no dump and coremask=10
image_default_core_11,cmodel_no_dump cmodel_coremask_11 compilation_default compilation_no_dump,no dump and coremask=11
image_default_core_12,cmodel_no_dump cmodel_coremask_12 compilation_default compilation_no_dump,no dump and coremask=12
image_default_core_13,cmodel_no_dump cmodel_coremask_13 compilation_default compilation_no_dump,no dump and coremask=13
image_default_core_14,cmodel_no_dump cmodel_coremask_14 compilation_default compilation_no_dump,no dump and coremask=14
image_default_core_15,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump,no dump and coremask=15
image_comp,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump compilation_comp,no dump and coremask=1 and with compression
image_lmcopy_comp,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump compilation_comp cmdline_lmcopy,no dump and coremask=15 and with compression and lmcopy
image_lmcopy_core_2,cmodel_no_dump cmodel_coremask_2 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=2 and and lmcopy
image_lmcopy_core_3,cmodel_no_dump cmodel_coremask_3 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=3 and and lmcopy
image_lmcopy_core_4,cmodel_no_dump cmodel_coremask_4 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=4 and and lmcopy
image_lmcopy_core_5,cmodel_no_dump cmodel_coremask_5 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=5 and and lmcopy
image_lmcopy_core_6,cmodel_no_dump cmodel_coremask_6 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=6 and and lmcopy
image_lmcopy_core_7,cmodel_no_dump cmodel_coremask_7 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=7 and and lmcopy
image_lmcopy_core_8,cmodel_no_dump cmodel_coremask_8 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=8 and and lmcopy
image_lmcopy_core_9,cmodel_no_dump cmodel_coremask_9 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=9 and and lmcopy
image_lmcopy_core_10,cmodel_no_dump cmodel_coremask_10 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=10 and and lmcopy
image_lmcopy_core_11,cmodel_no_dump cmodel_coremask_11 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=11 and and lmcopy
image_lmcopy_core_12,cmodel_no_dump cmodel_coremask_12 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=12 and and lmcopy
image_lmcopy_core_13,cmodel_no_dump cmodel_coremask_13 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=13 and and lmcopy
image_lmcopy_core_14,cmodel_no_dump cmodel_coremask_14 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=14 and and lmcopy
image_lmcopy_core_15,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump cmdline_lmcopy,no dump and coremask=15 and and lmcopy
image_vops,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump compilation_vops,no dump and coremask=1 and force vops
matrix_default,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump infer_matrix,no dump and coremask=1
matrix_default_core_2,cmodel_no_dump cmodel_coremask_2 compilation_default compilation_no_dump infer_matrix,no dump and coremask=2
matrix_default_core_3,cmodel_no_dump cmodel_coremask_3 compilation_default compilation_no_dump infer_matrix,no dump and coremask=3
matrix_default_core_4,cmodel_no_dump cmodel_coremask_4 compilation_default compilation_no_dump infer_matrix,no dump and coremask=4
matrix_default_core_5,cmodel_no_dump cmodel_coremask_5 compilation_default compilation_no_dump infer_matrix,no dump and coremask=5
matrix_default_core_6,cmodel_no_dump cmodel_coremask_6 compilation_default compilation_no_dump infer_matrix,no dump and coremask=6
matrix_default_core_7,cmodel_no_dump cmodel_coremask_7 compilation_default compilation_no_dump infer_matrix,no dump and coremask=7
matrix_default_core_8,cmodel_no_dump cmodel_coremask_8 compilation_default compilation_no_dump infer_matrix,no dump and coremask=8
matrix_default_core_9,cmodel_no_dump cmodel_coremask_9 compilation_default compilation_no_dump infer_matrix,no dump and coremask=9
matrix_default_core_10,cmodel_no_dump cmodel_coremask_10 compilation_default compilation_no_dump infer_matrix,no dump and coremask=10
matrix_default_core_11,cmodel_no_dump cmodel_coremask_11 compilation_default compilation_no_dump infer_matrix,no dump and coremask=11
matrix_default_core_12,cmodel_no_dump cmodel_coremask_12 compilation_default compilation_no_dump infer_matrix,no dump and coremask=12
matrix_default_core_13,cmodel_no_dump cmodel_coremask_13 compilation_default compilation_no_dump infer_matrix,no dump and coremask=13
matrix_default_core_14,cmodel_no_dump cmodel_coremask_14 compilation_default compilation_no_dump infer_matrix,no dump and coremask=14
matrix_default_core_15,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump infer_matrix,no dump and coremask=15
matrix_comp,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump compilation_comp infer_matrix,no dump and coremask=1 and with compression
matrix_lmcopy_comp,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump compilation_comp infer_matrix cmdline_lmcopy,no dump and coremask=15 and with compression and lmcopy
matrix_lmcopy_core_2,cmodel_no_dump cmodel_coremask_2 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=2 and and lmcopy
matrix_lmcopy_core_3,cmodel_no_dump cmodel_coremask_3 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=3 and and lmcopy
matrix_lmcopy_core_4,cmodel_no_dump cmodel_coremask_4 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=4 and and lmcopy
matrix_lmcopy_core_5,cmodel_no_dump cmodel_coremask_5 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=5 and and lmcopy
matrix_lmcopy_core_6,cmodel_no_dump cmodel_coremask_6 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=6 and and lmcopy
matrix_lmcopy_core_7,cmodel_no_dump cmodel_coremask_7 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=7 and and lmcopy
matrix_lmcopy_core_8,cmodel_no_dump cmodel_coremask_8 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=8 and and lmcopy
matrix_lmcopy_core_9,cmodel_no_dump cmodel_coremask_9 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=9 and and lmcopy
matrix_lmcopy_core_10,cmodel_no_dump cmodel_coremask_10 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=10 and and lmcopy
matrix_lmcopy_core_11,cmodel_no_dump cmodel_coremask_11 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=11 and and lmcopy
matrix_lmcopy_core_12,cmodel_no_dump cmodel_coremask_12 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=12 and and lmcopy
matrix_lmcopy_core_13,cmodel_no_dump cmodel_coremask_13 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=13 and and lmcopy
matrix_lmcopy_core_14,cmodel_no_dump cmodel_coremask_14 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=14 and and lmcopy
matrix_lmcopy_core_15,cmodel_no_dump cmodel_coremask_15 compilation_default compilation_no_dump infer_matrix cmdline_lmcopy,no dump and coremask=15 and and lmcopy
matrix_vops,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump compilation_vops infer_matrix,no dump and coremask=1 and force vops
matrix_weight_split,cmodel_no_dump cmodel_coremask_1 compilation_default compilation_no_dump infer_matrix perf_weight_split,no dump and coremask=1 and weight split